movie,year,country
The Bridge on the River Kwai,1957,🇬🇧 UK
Lawrence of Arabia,1962,🇬🇧 UK
Doctor Zhivago,1965,🇬🇧 UK
Repulsion,1965,🇬🇧 UK
Cul-de-sac,1966,🇬🇧 UK
Kes,1969,🇬🇧 UK
Tess,1979,🇬🇧 UK
The Quiet Girl (An Cailín Ciúin),2022,🇮🇪 Ireland
Hiroshima mon amour,1959,🇫🇷 France
The 400 Blows (Les quatre cents coups),1959,🇫🇷 France
Breathless (À bout de souffle),1960,🇫🇷 France
Au hasard Balthazar,1966,🇫🇷 France
Mouchette,1967,🇫🇷 France
Le Cercle Rouge,1970,🇫🇷 France
Un flic,1972,🇫🇷 France
The Tenant (Le Locataire),1976,🇫🇷 France
La double vie de Véronique,1991,🇫🇷 France
La Haine,1995,🇫🇷 France
Roma città aperta,1945,🇮🇹 Italy
L’Avventura,1960,🇮🇹 Italy
La Notte,1961,🇮🇹 Italy
L'Eclisse,1962,🇮🇹 Italy
Blowup,1966,🇮🇹 Italy
La Dolce Vita,1960,🇮🇹 Italy
8½,1963,🇮🇹 Italy
Il conformista,1970,🇮🇹 Italy
The Last Emperor (L'ultimo imperatore),1987,🇮🇹 Italy
The Spirit of the Beehive (El espíritu de la colmena),1973,🇪🇸 Spain
Eternity and a Day (Μια αιωνιότητα και μια μέρα),1998,🇬🇷 Greece
Metropolis,1927,🇩🇪 Germany
The Phantom Carriage (Körkarlen),1921,🇸🇪 Sweden
Häxan,1922,🇸🇪 Sweden
Gösta Berlings saga,1924,🇸🇪 Sweden
Through a Glass Darkly (Såsom i en spegel),1961,🇸🇪 Sweden
Winter Light (Nattvardsgästerna),1963,🇸🇪 Sweden
The Silence (Tystnaden),1963,🇸🇪 Sweden
Shame (Skammen),1968,🇸🇪 Sweden
A Swedish Love Story (En kärlekshistoria),1970,🇸🇪 Sweden
Cries and Whispers (Viskningar och rop),1972,🇸🇪 Sweden
Fanny and Alexander (Fanny och Alexander),1982,🇸🇪 Sweden
Let the Right One In (Låt den rätte komma in),2008,🇸🇪 Sweden
The Passion of Joan of Arc (La Passion de Jeanne d’Arc),1928,🇩🇰 Denmark
Ordet,1955,🇩🇰 Denmark
Hunger (Sult),1966,🇩🇰 Denmark
The Juniper Tree (Einitréð),1986,🇮🇸 Iceland
Almanac of Fall (Őszi almanach),1984,🇭🇺 Hungary
Sátántangó,1994,🇭🇺 Hungary
Werckmeister Harmonies (Werckmeister harmóniák),2000,🇭🇺 Hungary
Andrei Rublev (Андрей Рублёв),1966,🇷🇺 Russia
Nostalghia (Ностальгия),1983,🇷🇺 Russia
The Sacrifice (Offret),1986,🇷🇺 Russia
Rashomon (羅生門 ),1950,🇯🇵 Japan
Seven Samurai (七人の侍),1958,🇯🇵 Japan
Dersu Uzala (デルス・ウザーラ),1975,🇯🇵 Japan
Kagemusha (影武者),1980,🇯🇵 Japan
Tokyo Story (東京物語),1953,🇯🇵 Japan
Good Morning (お早よう),1959,🇯🇵 Japan
A Brighter Summer Day (牯嶺街少年殺人事件),1991,🇹🇼 Taiwan
Pather Panchali (পথের পাঁচালি),1955,🇮🇳 India
Los Olvidados,1950,🇲🇽 Mexico
Singin' in the Rain,1952,🇺🇸 USA
Roman Holiday,1953,🇺🇸 USA
Rear Window,1954,🇺🇸 USA
The Night of the Hunter,1955,🇺🇸 USA
The Searchers,1956,🇺🇸 USA
Breakfast at Tiffany's,1961,🇺🇸 USA
The Sound of Music,1965,🇺🇸 USA
The Good the Bad and the Ugly,1966,🇺🇸 USA
Once Upon a Time in the West,1968,🇺🇸 USA
The Graduate,1967,🇺🇸 USA
2001: A Space Odyssey,1968,🇺🇸 USA
Easy Rider,1969,🇺🇸 USA
Badlands,1973,🇺🇸 USA
Chinatown,1974,🇺🇸 USA
Taxi Driver,1976,🇺🇸 USA
Paris Texas,1984,🇺🇸 USA
Do the Right Thing,1989,🇺🇸 USA
